Sentence	ID	表層形	原形	品詞
"ぼけっとしてたらこんな時間｡チャリあるから食べにでたいのに…"	1	"ぼけ"	"ぼけ"	"名詞-一般"
"ぼけっとしてたらこんな時間｡チャリあるから食べにでたいのに…"	1	"っと"	"っと"	"助詞-格助詞-引用"
"ぼけっとしてたらこんな時間｡チャリあるから食べにでたいのに…"	1	"し"	"する"	"動詞-自立"
"ぼけっとしてたらこんな時間｡チャリあるから食べにでたいのに…"	1	"て"	"てる"	"動詞-非自立"
"ぼけっとしてたらこんな時間｡チャリあるから食べにでたいのに…"	1	"たら"	"た"	"助動詞"
"ぼけっとしてたらこんな時間｡チャリあるから食べにでたいのに…"	1	"こんな"	"こんな"	"連体詞"
"ぼけっとしてたらこんな時間｡チャリあるから食べにでたいのに…"	1	"時間"	"時間"	"名詞-副詞可能"
"ぼけっとしてたらこんな時間｡チャリあるから食べにでたいのに…"	1	"｡"	"｡"	"記号-一般"
"ぼけっとしてたらこんな時間｡チャリあるから食べにでたいのに…"	1	"チャリ"	"チャリ"	"名詞-一般"
"ぼけっとしてたらこんな時間｡チャリあるから食べにでたいのに…"	1	"ある"	"ある"	"動詞-自立"
"ぼけっとしてたらこんな時間｡チャリあるから食べにでたいのに…"	1	"から"	"から"	"助詞-接続助詞"
"ぼけっとしてたらこんな時間｡チャリあるから食べにでたいのに…"	1	"食べ"	"食べる"	"動詞-自立"
"ぼけっとしてたらこんな時間｡チャリあるから食べにでたいのに…"	1	"に"	"に"	"助詞-格助詞-一般"
"ぼけっとしてたらこんな時間｡チャリあるから食べにでたいのに…"	1	"で"	"でる"	"動詞-自立"
"ぼけっとしてたらこんな時間｡チャリあるから食べにでたいのに…"	1	"たい"	"たい"	"助動詞"
"ぼけっとしてたらこんな時間｡チャリあるから食べにでたいのに…"	1	"のに"	"のに"	"助詞-接続助詞"
"ぼけっとしてたらこんな時間｡チャリあるから食べにでたいのに…"	1	"…"	"…"	"記号-一般"
"今日の月も白くて明るい。昨日より雲が少なくてキレイな? と立ち止まる帰り道｡チャリなし生活も悪くない｡"	2	"今日"	"今日"	"名詞-副詞可能"
"今日の月も白くて明るい。昨日より雲が少なくてキレイな? と立ち止まる帰り道｡チャリなし生活も悪くない｡"	2	"の"	"の"	"助詞-連体化"
"今日の月も白くて明るい。昨日より雲が少なくてキレイな? と立ち止まる帰り道｡チャリなし生活も悪くない｡"	2	"月"	"月"	"名詞-一般"
"今日の月も白くて明るい。昨日より雲が少なくてキレイな? と立ち止まる帰り道｡チャリなし生活も悪くない｡"	2	"も"	"も"	"助詞-係助詞"
"今日の月も白くて明るい。昨日より雲が少なくてキレイな? と立ち止まる帰り道｡チャリなし生活も悪くない｡"	2	"白く"	"白い"	"形容詞-自立"
"今日の月も白くて明るい。昨日より雲が少なくてキレイな? と立ち止まる帰り道｡チャリなし生活も悪くない｡"	2	"て"	"て"	"助詞-接続助詞"
"今日の月も白くて明るい。昨日より雲が少なくてキレイな? と立ち止まる帰り道｡チャリなし生活も悪くない｡"	2	"明るい"	"明るい"	"形容詞-自立"
"今日の月も白くて明るい。昨日より雲が少なくてキレイな? と立ち止まる帰り道｡チャリなし生活も悪くない｡"	2	"。"	"。"	"記号-句点"
"今日の月も白くて明るい。昨日より雲が少なくてキレイな? と立ち止まる帰り道｡チャリなし生活も悪くない｡"	2	"昨日"	"昨日"	"名詞-副詞可能"
"今日の月も白くて明るい。昨日より雲が少なくてキレイな? と立ち止まる帰り道｡チャリなし生活も悪くない｡"	2	"より"	"より"	"助詞-格助詞-一般"
"今日の月も白くて明るい。昨日より雲が少なくてキレイな? と立ち止まる帰り道｡チャリなし生活も悪くない｡"	2	"雲"	"雲"	"名詞-一般"
"今日の月も白くて明るい。昨日より雲が少なくてキレイな? と立ち止まる帰り道｡チャリなし生活も悪くない｡"	2	"が"	"が"	"助詞-格助詞-一般"
"今日の月も白くて明るい。昨日より雲が少なくてキレイな? と立ち止まる帰り道｡チャリなし生活も悪くない｡"	2	"少なく"	"少ない"	"形容詞-自立"
"今日の月も白くて明るい。昨日より雲が少なくてキレイな? と立ち止まる帰り道｡チャリなし生活も悪くない｡"	2	"て"	"て"	"助詞-接続助詞"
"今日の月も白くて明るい。昨日より雲が少なくてキレイな? と立ち止まる帰り道｡チャリなし生活も悪くない｡"	2	"キレイ"	"キレイ"	"名詞-形容動詞語幹"
"今日の月も白くて明るい。昨日より雲が少なくてキレイな? と立ち止まる帰り道｡チャリなし生活も悪くない｡"	2	"な"	"だ"	"助動詞"
"今日の月も白くて明るい。昨日より雲が少なくてキレイな? と立ち止まる帰り道｡チャリなし生活も悪くない｡"	2	"?"	"?"	"記号-一般"
"今日の月も白くて明るい。昨日より雲が少なくてキレイな? と立ち止まる帰り道｡チャリなし生活も悪くない｡"	2	"と"	"と"	"助詞-格助詞-一般"
"今日の月も白くて明るい。昨日より雲が少なくてキレイな? と立ち止まる帰り道｡チャリなし生活も悪くない｡"	2	"立ち止まる"	"立ち止まる"	"動詞-自立"
"今日の月も白くて明るい。昨日より雲が少なくてキレイな? と立ち止まる帰り道｡チャリなし生活も悪くない｡"	2	"帰り道"	"帰り道"	"名詞-一般"
"今日の月も白くて明るい。昨日より雲が少なくてキレイな? と立ち止まる帰り道｡チャリなし生活も悪くない｡"	2	"｡"	"｡"	"記号-一般"
"今日の月も白くて明るい。昨日より雲が少なくてキレイな? と立ち止まる帰り道｡チャリなし生活も悪くない｡"	2	"チャリ"	"チャリ"	"名詞-一般"
"今日の月も白くて明るい。昨日より雲が少なくてキレイな? と立ち止まる帰り道｡チャリなし生活も悪くない｡"	2	"なし"	"ない"	"形容詞-自立"
"今日の月も白くて明るい。昨日より雲が少なくてキレイな? と立ち止まる帰り道｡チャリなし生活も悪くない｡"	2	"生活"	"生活"	"名詞-サ変接続"
"今日の月も白くて明るい。昨日より雲が少なくてキレイな? と立ち止まる帰り道｡チャリなし生活も悪くない｡"	2	"も"	"も"	"助詞-係助詞"
"今日の月も白くて明るい。昨日より雲が少なくてキレイな? と立ち止まる帰り道｡チャリなし生活も悪くない｡"	2	"悪く"	"悪い"	"形容詞-自立"
"今日の月も白くて明るい。昨日より雲が少なくてキレイな? と立ち止まる帰り道｡チャリなし生活も悪くない｡"	2	"ない"	"ない"	"助動詞"
"今日の月も白くて明るい。昨日より雲が少なくてキレイな? と立ち止まる帰り道｡チャリなし生活も悪くない｡"	2	"｡"	"｡"	"記号-一般"
"早寝するつもりが飲み物がなくなりコンビニへ｡ん､今日、風が涼しいな。"	3	"早寝"	"早寝"	"名詞-サ変接続"
"早寝するつもりが飲み物がなくなりコンビニへ｡ん､今日、風が涼しいな。"	3	"する"	"する"	"動詞-自立"
"早寝するつもりが飲み物がなくなりコンビニへ｡ん､今日、風が涼しいな。"	3	"つもり"	"つもり"	"名詞-非自立-一般"
"早寝するつもりが飲み物がなくなりコンビニへ｡ん､今日、風が涼しいな。"	3	"が"	"が"	"助詞-格助詞-一般"
"早寝するつもりが飲み物がなくなりコンビニへ｡ん､今日、風が涼しいな。"	3	"飲み物"	"飲み物"	"名詞-一般"
"早寝するつもりが飲み物がなくなりコンビニへ｡ん､今日、風が涼しいな。"	3	"が"	"が"	"助詞-格助詞-一般"
"早寝するつもりが飲み物がなくなりコンビニへ｡ん､今日、風が涼しいな。"	3	"なくなり"	"なくなる"	"動詞-自立"
"早寝するつもりが飲み物がなくなりコンビニへ｡ん､今日、風が涼しいな。"	3	"コンビニ"	"コンビニ"	"名詞-一般"
"早寝するつもりが飲み物がなくなりコンビニへ｡ん､今日、風が涼しいな。"	3	"へ"	"へ"	"助詞-格助詞-一般"
"早寝するつもりが飲み物がなくなりコンビニへ｡ん､今日、風が涼しいな。"	3	"｡"	"｡"	"記号-一般"
"早寝するつもりが飲み物がなくなりコンビニへ｡ん､今日、風が涼しいな。"	3	"ん"	"ん"	"助詞-格助詞-一般"
"早寝するつもりが飲み物がなくなりコンビニへ｡ん､今日、風が涼しいな。"	3	"､"	"､"	"記号-一般"
"早寝するつもりが飲み物がなくなりコンビニへ｡ん､今日、風が涼しいな。"	3	"今日"	"今日"	"名詞-副詞可能"
"早寝するつもりが飲み物がなくなりコンビニへ｡ん､今日、風が涼しいな。"	3	"、"	"、"	"記号-読点"
"早寝するつもりが飲み物がなくなりコンビニへ｡ん､今日、風が涼しいな。"	3	"風"	"風"	"名詞-一般"
"早寝するつもりが飲み物がなくなりコンビニへ｡ん､今日、風が涼しいな。"	3	"が"	"が"	"助詞-格助詞-一般"
"早寝するつもりが飲み物がなくなりコンビニへ｡ん､今日、風が涼しいな。"	3	"涼しい"	"涼しい"	"形容詞-自立"
"早寝するつもりが飲み物がなくなりコンビニへ｡ん､今日、風が涼しいな。"	3	"な"	"な"	"助詞-終助詞"
"早寝するつもりが飲み物がなくなりコンビニへ｡ん､今日、風が涼しいな。"	3	"。"	"。"	"記号-句点"
"眠い、眠れない。"	4	"眠い"	"眠い"	"形容詞-自立"
"眠い、眠れない。"	4	"、"	"、"	"記号-読点"
"眠い、眠れない。"	4	"眠れ"	"眠れる"	"動詞-自立"
"眠い、眠れない。"	4	"ない"	"ない"	"助動詞"
"眠い、眠れない。"	4	"。"	"。"	"記号-句点"
"ただいま? って新体操してるやん!外食する気満々で家に何もないのに!テレビから離れられない…!"	5	"ただ"	"ただ"	"接続詞"
"ただいま? って新体操してるやん!外食する気満々で家に何もないのに!テレビから離れられない…!"	5	"いま"	"いま"	"名詞-副詞可能"
"ただいま? って新体操してるやん!外食する気満々で家に何もないのに!テレビから離れられない…!"	5	"?"	"?"	"記号-一般"
"ただいま? って新体操してるやん!外食する気満々で家に何もないのに!テレビから離れられない…!"	5	"って"	"って"	"助詞-格助詞-連語"
"ただいま? って新体操してるやん!外食する気満々で家に何もないのに!テレビから離れられない…!"	5	"新"	"新"	"接頭詞-名詞接続"
"ただいま? って新体操してるやん!外食する気満々で家に何もないのに!テレビから離れられない…!"	5	"体操"	"体操"	"名詞-サ変接続"
